A,p,D_over_Dc,D,s,margin
2,0.038729833462074176,0.15,6.089869053337582e-05,3.141592653589793,0.42518172622170836
2,0.038729833462074176,0.3,0.00012179738106675164,0.15,0.3503708210334977
2,0.038729833462074176,0.3,0.00012179738106675164,0.48239918373219925,0.3503673513712875
2,0.038729833462074176,0.3,0.00012179738106675164,0.8147983674643985,0.35036061073723923
2,0.038729833462074176,0.3,0.00012179738106675164,1.1471975511965977,0.350351336358824
2,0.038729833462074176,0.3,0.00012179738106675164,1.4795967349287968,0.35034054288894545
2,0.038729833462074176,0.3,0.00012179738106675164,1.8119959186609962,0.3503294116031872
2,0.038729833462074176,0.3,0.00012179738106675164,2.1443951023931955,0.3503191611941521
2,0.038729833462074176,0.3,0.00012179738106675164,2.4767942861253944,0.3503109143769061
2,0.038729833462074176,0.3,0.00012179738106675164,2.8091934698575938,0.35030557468413437
2,0.038729833462074176,0.3,0.00012179738106675164,3.141592653589793,0.3503037272890779
2,0.038729833462074176,0.5,0.00020299563511125274,0.15,0.2505568921077579
2,0.038729833462074176,0.5,0.00020299563511125274,0.48239918373219925,0.25054777181309795
2,0.038729833462074176,0.5,0.00020299563511125274,0.8147983674643985,0.2505300524369829
2,0.038729833462074176,0.5,0.00020299563511125274,1.1471975511965977,0.2505056714042435
2,0.038729833462074176,0.5,0.00020299563511125274,1.4795967349287968,0.2504772952399472
2,0.038729833462074176,0.5,0.00020299563511125274,1.8119959186609962,0.2504480290609359
2,0.038729833462074176,0.5,0.00020299563511125274,2.1443951023931955,0.2504210772453077
2,0.038729833462074176,0.5,0.00020299563511125274,2.4767942861253944,0.25039939237646336
2,0.038729833462074176,0.5,0.00020299563511125274,2.8091934698575938,0.2503853511944867
2,0.038729833462074176,0.5,0.00020299563511125274,3.141592653589793,0.25038049321796807
2,0.038729833462074176,0.7,0.0002841938891557538,0.15,0.15069407614284636
2,0.038729833462074176,0.7,0.0002841938891557538,0.48239918373219925,0.15067721475789986
2,0.038729833462074176,0.7,0.0002841938891557538,0.8147983674643985,0.1506444560492708
2,0.038729833462074176,0.7,0.0002841938891557538,1.1471975511965977,0.150599380209258
2,0.038729833462074176,0.7,0.0002841938891557538,1.4795967349287968,0.15054691609974924
2,0.038729833462074176,0.7,0.0002841938891557538,1.8119959186609962,0.15049280421103584
2,0.038729833462074176,0.7,0.0002841938891557538,2.1443951023931955,0.15044296940188762
2,0.038729833462074176,0.7,0.0002841938891557538,2.4767942861253944,0.1504028719249011
2,0.038729833462074176,0.7,0.0002841938891557538,2.8091934698575938,0.15037690771636725
2,0.038729833462074176,0.7,0.0002841938891557538,3.141592653589793,0.15036792448482705
2,0.038729833462074176,0.85,0.0003450925796891296,0.15,0.07576489497960015
2,0.038729833462074176,0.85,0.0003450925796891296,0.48239918373219925,0.0757411565104189
2,0.038729833462074176,0.85,0.0003450925796891296,0.8147983674643985,0.075695036170627
2,0.038729833462074176,0.85,0.0003450925796891296,1.1471975511965977,0.07563157393933406
2,0.038729833462074176,0.85,0.0003450925796891296,1.4795967349287968,0.07555770861156064
2,0.038729833462074176,0.85,0.0003450925796891296,1.8119959186609962,0.07548152197257507
2,0.038729833462074176,0.85,0.0003450925796891296,2.1443951023931955,0.07541135601635873
2,0.038729833462074176,0.85,0.0003450925796891296,2.4767942861253944,0.07535489908933513
2,0.038729833462074176,0.85,0.0003450925796891296,2.8091934698575938,0.07531834128704262
2,0.038729833462074176,0.85,0.0003450925796891296,3.141592653589793,0.07530569275213161
2,0.038729833462074176,1.0,0.0004059912702225055,0.15,0.0008082368782160732
2,0.038729833462074176,1.0,0.0004059912702225055,0.48239918373219925,0.0007769367792078707
2,0.038729833462074176,1.0,0.0004059912702225055,0.8147983674643985,0.0007161249505043266
2,0.038729833462074176,1.0,0.0004059912702225055,1.1471975511965977,0.0006324466441627319
2,0.038729833462074176,1.0,0.0004059912702225055,1.4795967349287968,0.0005350507645967006
2,0.038729833462074176,1.0,0.0004059912702225055,1.8119959186609962,0.0004345934992353584
2,0.038729833462074176,1.0,0.0004059912702225055,2.1443951023931955,0.0003420743788757896
2,0.038729833462074176,1.0,0.0004059912702225055,2.4767942861253944,0.00026763128693518823
2,0.038729833462074176,1.0,0.0004059912702225055,2.8091934698575938,0.00021942664805529866
2,0.038729833462074176,1.0,0.0004059912702225055,3.141592653589793,0.00020274842492695733
2,0.05433216825139731,0.15,0.0001238873456563261,0.15,0.425404813827172
2,0.05433216825139731,0.15,0.0001238873456563261,0.48239918373219925,0.42540298308951296
2,0.05433216825139731,0.15,0.0001238873456563261,0.8147983674643985,0.4253994263450762
2,0.05433216825139731,0.15,0.0001238873456563261,1.1471975511965977,0.4253945326472406
2,0.05433216825139731,0.15,0.0001238873456563261,1.4795967349287968,0.42538883729183974
2,0.05433216825139731,0.15,0.0001238873456563261,1.8119959186609962,0.42538296360893924
2,0.05433216825139731,0.15,0.0001238873456563261,2.1443951023931955,0.42537755467306937
2,0.05433216825139731,0.15,0.0001238873456563261,2.4767942861253944,0.4253732029312629
2,0.05433216825139731,0.15,0.0001238873456563261,2.8091934698575938,0.42537038522181825
2,0.05433216825139731,0.15,0.0001238873456563261,3.141592653589793,0.42536941036454956
2,0.05433216825139731,0.3,0.0002477746913126522,0.15,0.3507537762262589
2,0.05433216825139731,0.3,0.0002477746913126522,0.48239918373219925,0.35074673409670076
2,0.05433216825139731,0.3,0.0002477746913126522,0.8147983674643985,0.3507330524135004
2,0.05433216825139731,0.3,0.0002477746913126522,1.1471975511965977,0.35071422597089086
2,0.05433216825139731,0.3,0.0002477746913126522,1.4795967349287968,0.35069231307053395
2,0.05433216825139731,0.3,0.0002477746913126522,1.8119959186609962,0.3506697111668198
2,0.05433216825139731,0.3,0.0002477746913126522,2.1443951023931955,0.35064889506740604
2,0.05433216825139731,0.3,0.0002477746913126522,2.4767942861253944,0.3506321457963324
2,0.05433216825139731,0.3,0.0002477746913126522,2.8091934698575938,0.3506212999588745
2,0.05433216825139731,0.3,0.0002477746913126522,3.141592653589793,0.35061754741897544
2,0.05433216825139731,0.5,0.0004129578188544203,0.15,0.25113216366871094
2,0.05433216825139731,0.5,0.0004129578188544203,0.48239918373219925,0.2511136450314859
2,0.05433216825139731,0.5,0.0004129578188544203,0.8147983674643985,0.2510776636772807
2,0.05433216825139731,0.5,0.0004129578188544203,1.1471975511965977,0.25102814754708525
2,0.05433216825139731,0.5,0.0004129578188544203,1.4795967349287968,0.25097050681272104
2,0.05433216825139731,0.5,0.0004129578188544203,1.8119959186609962,0.25091104602552794
2,0.05433216825139731,0.5,0.0004129578188544203,2.1443951023931955,0.25085627640262564
